tocID,title,dateCreated,dateQualifier,dateNote,language,description,identifierLocal,extent,topic,continent,country,province,coordinates,source,role,form,city,state,county,note
5150yongecitycentreconcourselevel006-1-4-3-21-001,No title,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,The restaurant features Chinese dishes.,006-1-4-3-21-001,21 x 27 cm,"Cooking, Chinese | Restaurant - Menus",North America,Canada,Ontario,"+43.7686643, -79.41337699999997",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
5150yongecitycentreconcourselevel006-1-4-3-21-002,No title,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,The restaurant features Chinese dishes.,006-1-4-3-21-002,21 x 27 cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.7686643, -79.41337699999997",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
5150yongecitycentreconcourselevel006-1-4-3-21-003,No title,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,The restaurant features Chinese dishes.,006-1-4-3-21-003,21 x 27 cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.7686643, -79.41337699999997",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
alibabas006-1-4-3-21-004,Ali Bab's,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,Restaurant features a variety of Halal Middle Eastern dishes.  This restaurant has multiple locations.,006-1-4-3-21-004,21 x 27 cm,"Cooking, Middle Eastern | Halal food | Restaurant – Menus",North America,Canada,Ontario,"+40.7127837, -74.00594130000002",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
ambassadorchinesecuisine006-1-4-3-21-005,Ambassador Chinese Cuisine,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,Menu features lunch and lobster specials.,006-1-4-3-21-005,21 x 27 cm,"Cooking, Chinese | Dim Sum | Restaurant – Menus",North America,Canada,Ontario,"+43.8434746, -79.3876864",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
ambassadorchinesecuisine006-1-4-3-21-006,Ambassador Chinese Cuisine,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng | chi,Menu features menus for large groups.,006-1-4-3-21-006,21 x 27 cm,"Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.8434746, -79.3876864",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
azalea006-1-4-3-21-007,Azalea,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,"Restaurant features Szechuan, Cantonese and seafood options.  Also available to customers is a Chinese buffet and dining room dinner special.  The restaurant also has a catering and banquet option.  The menu also features a note ",006-1-4-3-21-007,22 x36cm,"Cooking, Chinese – Sichuan style | Cooking, Chinese – Cantonese style | Buffets (Cooking) | Cooking (Seafood) | Caterers and Catering | Restaurant – Menus",North America,Canada,Ontario,"+43.7847214, -79.44582500000001",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
azalea006-1-4-3-21-008,Azalea,1990,approximate,The exact date for this resource is unknown. The date provided is an estimate.,eng,"Restaurant features Szechuan, Cantonese and seafood options.  Also available to customers is a Chinese buffet and dining room dinner special.  The restaurant also has a catering and banquet option.",006-1-4-3-21-007,22 x36cm,"Cooking, Chinese – Sichuan style | Cooking, Chinese – Cantonese style | Buffets (Cooking) | Cooking (Seafood) | Caterers and Catering | Restaurant – Menus",North America,Canada,Ontario,"+43.7847214, -79.44582500000001",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
blossomchinesefood006-1-4-3-21-009,Blossom Chinese Food,1997,inferred,Date provide is exact year the menu was created.,eng,"Restaurant features a variety of Chinese dishes, offers a take out service and provides coupons for meal discounts. ",006-1-4-3-21-009,22 x36cm,"Caterers and Catering | Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.730777, -79.46617939999999",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
blossomchinesefood006-1-4-3-21-010,Blossom Chinese Food,2002,inferred,Date provide is exact year the menu was created.,eng,"Restaurant features a variety of Chinese dishes, offers a take out service and provides coupons for meal discounts. ",006-1-4-3-21-010,22 x36cm,"Caterers and Catering | Cooking, Chinese | Restaurant – Menus",North America,Canada,Ontario,"+43.730777, -79.46617939999999",Harley J. Spiller collection - Menus - North America - Menus from Canada  - Ontario (A-J),,,,,,
